Year,"Country of Asylum","Country of Origin","Country of Asylum ISO","Country of Origin ISO",Refugees,Asylum-seekers,IDPs,"Other people in need of international protection","Stateless persons","Host community","Others of concern"
2016,Thailand,Nigeria,THA,NGA,0,12,0,0,0,0,0
2016,Thailand,Pakistan,THA,PAK,1825,2648,0,0,0,0,0
2016,Thailand,Philippines,THA,PHL,0,5,0,0,0,0,0
2016,Thailand,"Russian Federation",THA,RUS,0,10,0,0,0,0,0
2016,Thailand,Somalia,THA,SOM,156,234,0,0,0,0,0
2016,Thailand,"Viet Nam",THA,VNM,264,525,0,0,0,0,0
2016,Thailand,Stateless,THA,XXA,0,0,0,0,487741,0,0
2016,Thailand,Sudan,THA,SDN,14,0,0,0,0,0,0
2016,Thailand,"Syrian Arab Rep.",THA,SYR,268,42,0,0,0,0,0
2016,Thailand,"United Rep. of Tanzania",THA,TZA,5,0,0,0,0,0,0
2016,Thailand,Togo,THA,TGO,5,0,0,0,0,0,0
2016,Thailand,Uzbekistan,THA,UZB,0,7,0,0,0,0,0
2016,Thailand,Yemen,THA,YEM,19,10,0,0,0,0,0
2017,Thailand,Afghanistan,THA,AFG,88,5,0,0,0,0,0
2017,Thailand,Egypt,THA,EGY,16,13,0,0,0,0,0
2017,Thailand,Bangladesh,THA,BGD,0,5,0,0,0,0,0
2017,Thailand,Cambodia,THA,KHM,166,167,0,0,0,0,0
2017,Thailand,China,THA,CHN,179,27,0,0,0,0,0
2017,Thailand,"Dem. Rep. of the Congo",THA,COD,33,8,0,0,0,0,0
2017,Thailand,Eritrea,THA,ERI,8,0,0,0,0,0,0
2017,Thailand,Ethiopia,THA,ETH,13,25,0,0,0,0,0
2017,Thailand,"State of Palestine",THA,PSE,413,16,0,0,0,0,0
2017,Thailand,Guinea,THA,GIN,0,5,0,0,0,0,0
2017,Thailand,"Cote d'Ivoire",THA,CIV,16,0,0,0,0,0,0
2017,Thailand,"Iran (Islamic Rep. of)",THA,IRN,57,77,0,0,0,0,0
2017,Thailand,Iraq,THA,IRQ,305,26,0,0,0,0,0
2017,Thailand,Jordan,THA,JOR,5,0,0,0,0,0,0
2017,Thailand,"Lao People's Dem. Rep.",THA,LAO,0,12,0,0,0,0,0
2017,Thailand,"Sri Lanka",THA,LKA,156,55,0,0,0,0,0
2017,Thailand,Myanmar,THA,MMR,99982,254,0,0,0,0,109
2017,Thailand,Nepal,THA,NPL,11,0,0,0,0,0,0
2017,Thailand,Nigeria,THA,NGA,0,5,0,0,0,0,0
2017,Thailand,Pakistan,THA,PAK,2075,722,0,0,0,0,0
2017,Thailand,"Russian Federation",THA,RUS,5,5,0,0,0,0,0
2017,Thailand,Somalia,THA,SOM,223,134,0,0,0,0,0
2017,Thailand,"Viet Nam",THA,VNM,450,471,0,0,0,0,0
2017,Thailand,Stateless,THA,XXA,0,0,0,0,486440,0,0
2017,Thailand,Sudan,THA,SDN,14,0,0,0,0,0,0
2017,Thailand,"Syrian Arab Rep.",THA,SYR,327,9,0,0,0,0,0
2017,Thailand,"United Rep. of Tanzania",THA,TZA,5,0,0,0,0,0,0
2017,Thailand,Togo,THA,TGO,5,0,0,0,0,0,0
2017,Thailand,Ukraine,THA,UKR,5,0,0,0,0,0,0
2017,Thailand,Uzbekistan,THA,UZB,0,5,0,0,0,0,0
2017,Thailand,Yemen,THA,YEM,40,0,0,0,0,0,0
2017,Thailand,Zimbabwe,THA,ZWE,8,0,0,0,0,0,0
2018,Thailand,Afghanistan,THA,AFG,136,11,0,0,0,0,0
2018,Thailand,Egypt,THA,EGY,15,6,0,0,0,0,0
2018,Thailand,Cambodia,THA,KHM,203,135,0,0,0,0,0
2018,Thailand,China,THA,CHN,186,14,0,0,0,0,0
2018,Thailand,Cameroon,THA,CMR,0,10,0,0,0,0,0
2018,Thailand,"Dem. Rep. of the Congo",THA,COD,21,5,0,0,0,0,0
2018,Thailand,Eritrea,THA,ERI,7,0,0,0,0,0,0
2018,Thailand,Ethiopia,THA,ETH,13,13,0,0,0,0,0
2018,Thailand,"State of Palestine",THA,PSE,377,6,0,0,0,0,0
2018,Thailand,Guinea,THA,GIN,0,5,0,0,0,0,0
2018,Thailand,"Cote d'Ivoire",THA,CIV,15,0,0,0,0,0,0
2018,Thailand,"Iran (Islamic Rep. of)",THA,IRN,63,43,0,0,0,0,0
2018,Thailand,Iraq,THA,IRQ,248,26,0,0,0,0,0
2018,Thailand,Jordan,THA,JOR,5,0,0,0,0,0,0
2018,Thailand,"Lao People's Dem. Rep.",THA,LAO,5,0,0,0,0,0,0
2018,Thailand,"Sri Lanka",THA,LKA,137,31,0,0,0,0,0
2018,Thailand,Myanmar,THA,MMR,97603,0,0,0,0,0,98
2018,Thailand,Nepal,THA,NPL,10,0,0,0,0,0,0
2018,Thailand,Pakistan,THA,PAK,1942,114,0,0,0,0,0
2018,Thailand,"Russian Federation",THA,RUS,5,6,0,0,0,0,0
2018,Thailand,Somalia,THA,SOM,230,39,0,0,0,0,0
2018,Thailand,"Viet Nam",THA,VNM,682,448,0,0,0,0,0
2018,Thailand,Stateless,THA,XXA,0,0,0,0,478843,0,0
2018,Thailand,Sudan,THA,SDN,12,5,0,0,0,0,0
2018,Thailand,"Syrian Arab Rep.",THA,SYR,276,7,0,0,0,0,0
2018,Thailand,"United Rep. of Tanzania",THA,TZA,5,0,0,0,0,0,0
2018,Thailand,Togo,THA,TGO,6,0,0,0,0,0,0
2018,Thailand,Türkiye,THA,TUR,0,5,0,0,0,0,0
2018,Thailand,Uzbekistan,THA,UZB,0,5,0,0,0,0,0
2018,Thailand,Yemen,THA,YEM,32,0,0,0,0,0,0
2019,Thailand,Afghanistan,THA,AFG,134,18,0,0,0,0,0
2019,Thailand,Egypt,THA,EGY,16,10,0,0,0,0,0
2019,Thailand,Cambodia,THA,KHM,228,93,0,0,0,0,0
2019,Thailand,China,THA,CHN,174,14,0,0,0,0,0
2019,Thailand,Cameroon,THA,CMR,29,22,0,0,0,0,0
2019,Thailand,"Dem. Rep. of the Congo",THA,COD,19,0,0,0,0,0,0
2019,Thailand,Eritrea,THA,ERI,5,0,0,0,0,0,0
2019,Thailand,Ethiopia,THA,ETH,20,10,0,0,0,0,0
2019,Thailand,"State of Palestine",THA,PSE,310,5,0,0,0,0,0
2019,Thailand,Guinea,THA,GIN,0,5,0,0,0,0,0
2019,Thailand,"Cote d'Ivoire",THA,CIV,17,0,0,0,0,0,0
2019,Thailand,India,THA,IND,0,5,0,0,0,0,0
2019,Thailand,"Iran (Islamic Rep. of)",THA,IRN,69,36,0,0,0,0,0
2019,Thailand,Iraq,THA,IRQ,177,5,0,0,0,0,0
2019,Thailand,Jordan,THA,JOR,5,0,0,0,0,0,0
2019,Thailand,"Lao People's Dem. Rep.",THA,LAO,6,0,0,0,0,0,0
2019,Thailand,"Sri Lanka",THA,LKA,131,24,0,0,0,0,0
2019,Thailand,Myanmar,THA,MMR,93335,13,0,0,0,0,119
2019,Thailand,Nepal,THA,NPL,6,0,0,0,0,0,0
2019,Thailand,Pakistan,THA,PAK,1667,111,0,0,0,0,0
2019,Thailand,Somalia,THA,SOM,200,24,0,0,0,0,0
2019,Thailand,"Viet Nam",THA,VNM,744,420,0,0,0,0,0
2019,Thailand,Stateless,THA,XXA,0,0,0,0,475007,0,0
2019,Thailand,Sudan,THA,SDN,5,0,0,0,0,0,0
2019,Thailand,"Syrian Arab Rep.",THA,SYR,217,8,0,0,0,0,0
2019,Thailand,"United Rep. of Tanzania",THA,TZA,5,0,0,0,0,0,0
2019,Thailand,Türkiye,THA,TUR,0,5,0,0,0,0,0
2019,Thailand,Yemen,THA,YEM,37,0,0,0,0,0,0
2019,Thailand,Zimbabwe,THA,ZWE,0,9,0,0,0,0,0
2020,Thailand,Afghanistan,THA,AFG,160,18,0,0,0,0,0
2020,Thailand,Egypt,THA,EGY,20,0,0,0,0,0,0
2020,Thailand,Cambodia,THA,KHM,260,112,0,0,0,0,0
2020,Thailand,China,THA,CHN,177,17,0,0,0,0,0
2020,Thailand,Cameroon,THA,CMR,46,10,0,0,0,0,0
2020,Thailand,"Dem. Rep. of the Congo",THA,COD,18,5,0,0,0,0,0
2020,Thailand,Ethiopia,THA,ETH,18,10,0,0,0,0,0
2020,Thailand,"State of Palestine",THA,PSE,290,5,0,0,0,0,0
2020,Thailand,Guinea,THA,GIN,0,5,0,0,0,0,0
2020,Thailand,"Cote d'Ivoire",THA,CIV,18,0,0,0,0,0,0
2020,Thailand,"Iran (Islamic Rep. of)",THA,IRN,76,38,0,0,0,0,0
2020,Thailand,Iraq,THA,IRQ,168,5,0,0,0,0,0
2020,Thailand,Jordan,THA,JOR,5,0,0,0,0,0,0
2020,Thailand,"Lao People's Dem. Rep.",THA,LAO,8,0,0,0,0,0,0
2020,Thailand,"Sri Lanka",THA,LKA,119,16,0,0,0,0,0
2020,Thailand,Myanmar,THA,MMR,91805,0,0,0,0,0,146
2020,Thailand,Nepal,THA,NPL,5,0,0,0,0,0,0
2020,Thailand,Nigeria,THA,NGA,5,0,0,0,0,0,0
2020,Thailand,Pakistan,THA,PAK,1662,104,0,0,0,0,0
2020,Thailand,Somalia,THA,SOM,208,11,0,0,0,0,0
2020,Thailand,"Viet Nam",THA,VNM,834,485,0,0,0,0,0
2020,Thailand,Stateless,THA,XXA,0,0,0,0,480695,0,0
2020,Thailand,"Syrian Arab Rep.",THA,SYR,226,6,0,0,0,0,0
2020,Thailand,"United Rep. of Tanzania",THA,TZA,5,0,0,0,0,0,0
2020,Thailand,Yemen,THA,YEM,37,5,0,0,0,0,0
2020,Thailand,Zimbabwe,THA,ZWE,9,0,0,0,0,0,0
2021,Thailand,Afghanistan,THA,AFG,168,5,0,0,0,0,0
2021,Thailand,Egypt,THA,EGY,17,0,0,0,0,0,0
2021,Thailand,Cambodia,THA,KHM,317,85,0,0,0,0,0
2021,Thailand,China,THA,CHN,181,13,0,0,0,0,0
2021,Thailand,Cameroon,THA,CMR,53,15,0,0,0,0,0
2021,Thailand,"Dem. Rep. of the Congo",THA,COD,20,0,0,0,0,0,0
2021,Thailand,Ethiopia,THA,ETH,12,5,0,0,0,0,0
2021,Thailand,"State of Palestine",THA,PSE,265,5,0,0,0,0,0
2021,Thailand,Guinea,THA,GIN,0,5,0,0,0,0,0
2021,Thailand,"Cote d'Ivoire",THA,CIV,18,0,0,0,0,0,0
2021,Thailand,"Iran (Islamic Rep. of)",THA,IRN,87,14,0,0,0,0,0
2021,Thailand,Iraq,THA,IRQ,157,0,0,0,0,0,0
2021,Thailand,Jordan,THA,JOR,5,0,0,0,0,0,0
2021,Thailand,"Lao People's Dem. Rep.",THA,LAO,8,0,0,0,0,0,0
2021,Thailand,"Sri Lanka",THA,LKA,106,19,0,0,0,0,0
2021,Thailand,Morocco,THA,MAR,0,5,0,0,0,0,0
2021,Thailand,Myanmar,THA,MMR,96086,0,0,0,0,0,198
2021,Thailand,Nepal,THA,NPL,5,0,0,0,0,0,0
2021,Thailand,Nigeria,THA,NGA,5,11,0,0,0,0,0
2021,Thailand,Pakistan,THA,PAK,1578,84,0,0,0,0,0
2021,Thailand,Somalia,THA,SOM,196,10,0,0,0,0,0
2021,Thailand,"Viet Nam",THA,VNM,961,396,0,0,0,0,0
2021,Thailand,Stateless,THA,XXA,0,0,0,0,561527,0,0
2021,Thailand,"Syrian Arab Rep.",THA,SYR,215,5,0,0,0,0,0
2021,Thailand,"United Rep. of Tanzania",THA,TZA,5,0,0,0,0,0,0
2021,Thailand,Yemen,THA,YEM,36,0,0,0,0,0,0
2021,Thailand,Zimbabwe,THA,ZWE,9,0,0,0,0,0,0
2024,Thailand,Afghanistan,THA,AFG,95,91,0,0,0,0,0
2024,Thailand,Egypt,THA,EGY,15,5,0,0,0,0,0
2024,Thailand,Cambodia,THA,KHM,269,150,0,0,0,0,0
2024,Thailand,China,THA,CHN,128,64,0,0,0,0,0
2024,Thailand,Cameroon,THA,CMR,89,45,0,0,0,0,0
2024,Thailand,"Dem. Rep. of the Congo",THA,COD,12,5,0,0,0,0,0
2024,Thailand,Ethiopia,THA,ETH,19,61,0,0,0,0,0
2024,Thailand,"State of Palestine",THA,PSE,132,5,0,0,0,0,0
2024,Thailand,Guinea,THA,GIN,0,5,0,0,0,0,0
2024,Thailand,"Cote d'Ivoire",THA,CIV,17,0,0,0,0,0,0
2024,Thailand,India,THA,IND,0,5,0,0,0,0,0
2024,Thailand,"Iran (Islamic Rep. of)",THA,IRN,66,17,0,0,0,0,0
2024,Thailand,Iraq,THA,IRQ,96,6,0,0,0,0,0
2024,Thailand,Jordan,THA,JOR,0,5,0,0,0,0,0
2024,Thailand,Kuwait,THA,KWT,6,0,0,0,0,0,0
2024,Thailand,"Lao People's Dem. Rep.",THA,LAO,5,7,0,0,0,0,0
2024,Thailand,"Sri Lanka",THA,LKA,67,36,0,0,0,0,0
2024,Thailand,Morocco,THA,MAR,5,0,0,0,0,0,0
2024,Thailand,Myanmar,THA,MMR,81005,0,0,0,0,0,513
2024,Thailand,Nepal,THA,NPL,5,0,0,0,0,0,0
2024,Thailand,Nigeria,THA,NGA,0,18,0,0,0,0,0
2024,Thailand,Pakistan,THA,PAK,1157,710,0,0,0,0,0
2024,Thailand,"Russian Federation",THA,RUS,0,14,0,0,0,0,0
2024,Thailand,Somalia,THA,SOM,117,33,0,0,0,0,0
2024,Thailand,"Viet Nam",THA,VNM,899,1278,0,0,0,0,0
2024,Thailand,Stateless,THA,XXA,0,0,0,0,612524,0,0
2024,Thailand,Sudan,THA,SDN,11,11,0,0,0,0,0
2024,Thailand,"Syrian Arab Rep.",THA,SYR,173,17,0,0,0,0,0
2024,Thailand,Uganda,THA,UGA,5,5,0,0,0,0,0
2024,Thailand,Yemen,THA,YEM,28,11,0,0,0,0,0
2023,Thailand,Afghanistan,THA,AFG,119,23,0,0,0,0,0
2023,Thailand,Egypt,THA,EGY,14,5,0,0,0,0,0
2023,Thailand,Cambodia,THA,KHM,274,169,0,0,0,0,0
2023,Thailand,China,THA,CHN,140,73,0,0,0,0,0
2023,Thailand,Cameroon,THA,CMR,63,67,0,0,0,0,0
2023,Thailand,"Dem. Rep. of the Congo",THA,COD,14,5,0,0,0,0,0
2023,Thailand,Ethiopia,THA,ETH,17,41,0,0,0,0,0
2023,Thailand,"State of Palestine",THA,PSE,147,0,0,0,0,0,0
2023,Thailand,"Cote d'Ivoire",THA,CIV,17,0,0,0,0,0,0
2023,Thailand,"Iran (Islamic Rep. of)",THA,IRN,74,9,0,0,0,0,0
2023,Thailand,Iraq,THA,IRQ,100,0,0,0,0,0,0
2023,Thailand,Jordan,THA,JOR,0,5,0,0,0,0,0
2023,Thailand,"Lao People's Dem. Rep.",THA,LAO,5,0,0,0,0,0,0
2023,Thailand,"Sri Lanka",THA,LKA,72,20,0,0,0,0,0
2023,Thailand,Morocco,THA,MAR,5,0,0,0,0,0,0
2023,Thailand,Myanmar,THA,MMR,83821,0,0,0,0,0,584
2023,Thailand,Nepal,THA,NPL,5,0,0,0,0,0,0
2023,Thailand,Nigeria,THA,NGA,0,15,0,0,0,0,0
2023,Thailand,Pakistan,THA,PAK,1127,487,0,0,0,0,0
2023,Thailand,"Russian Federation",THA,RUS,0,5,0,0,0,0,0
2023,Thailand,Somalia,THA,SOM,126,20,0,0,0,0,0
2023,Thailand,"Viet Nam",THA,VNM,970,701,0,0,0,0,0
2023,Thailand,Stateless,THA,XXA,0,0,0,0,587132,0,0
2023,Thailand,Sudan,THA,SDN,7,5,0,0,0,0,0
2023,Thailand,"Syrian Arab Rep.",THA,SYR,165,13,0,0,0,0,0
2023,Thailand,Uganda,THA,UGA,0,5,0,0,0,0,0
2023,Thailand,Yemen,THA,YEM,27,6,0,0,0,0,0
2023,Thailand,Zimbabwe,THA,ZWE,5,0,0,0,0,0,0
2022,Thailand,Afghanistan,THA,AFG,128,18,0,0,0,0,0
2022,Thailand,Egypt,THA,EGY,18,0,0,0,0,0,0
2022,Thailand,Cambodia,THA,KHM,239,104,0,0,0,0,0
2022,Thailand,China,THA,CHN,172,79,0,0,0,0,0
2022,Thailand,Cameroon,THA,CMR,60,19,0,0,0,0,0
2022,Thailand,"Dem. Rep. of the Congo",THA,COD,18,5,0,0,0,0,0
2022,Thailand,Ethiopia,THA,ETH,10,12,0,0,0,0,0
2022,Thailand,"State of Palestine",THA,PSE,186,6,0,0,0,0,0
2022,Thailand,Guinea,THA,GIN,0,5,0,0,0,0,0
2022,Thailand,"Cote d'Ivoire",THA,CIV,18,0,0,0,0,0,0
2022,Thailand,"Iran (Islamic Rep. of)",THA,IRN,82,10,0,0,0,0,0
2022,Thailand,Iraq,THA,IRQ,139,12,0,0,0,0,0
2022,Thailand,"Lao People's Dem. Rep.",THA,LAO,6,5,0,0,0,0,0
2022,Thailand,Lebanon,THA,LBN,0,5,0,0,0,0,0
2022,Thailand,"Sri Lanka",THA,LKA,100,15,0,0,0,0,0
2022,Thailand,Morocco,THA,MAR,5,5,0,0,0,0,0
2022,Thailand,Myanmar,THA,MMR,90619,0,0,0,0,0,321
2022,Thailand,Nepal,THA,NPL,5,0,0,0,0,0,0
2022,Thailand,Nigeria,THA,NGA,5,12,0,0,0,0,0
2022,Thailand,Pakistan,THA,PAK,1270,183,0,0,0,0,0
2022,Thailand,"Russian Federation",THA,RUS,5,0,0,0,0,0,0
2022,Thailand,Somalia,THA,SOM,160,5,0,0,0,0,0
2022,Thailand,"Viet Nam",THA,VNM,969,410,0,0,0,0,0
2022,Thailand,Stateless,THA,XXA,0,0,0,0,574219,0,0
2022,Thailand,Sudan,THA,SDN,0,5,0,0,0,0,0
2022,Thailand,"Syrian Arab Rep.",THA,SYR,208,6,0,0,0,0,0
2022,Thailand,"United Rep. of Tanzania",THA,TZA,5,0,0,0,0,0,0
2022,Thailand,Yemen,THA,YEM,36,5,0,0,0,0,0
2022,Thailand,Zimbabwe,THA,ZWE,9,0,0,0,0,0,0
2025,Thailand,Afghanistan,THA,AFG,142,189,0,0,0,0,0
2025,Thailand,Egypt,THA,EGY,15,0,0,0,0,0,0
2025,Thailand,Cambodia,THA,KHM,297,70,0,0,0,0,0
2025,Thailand,China,THA,CHN,131,52,0,0,0,0,0
2025,Thailand,Cameroon,THA,CMR,99,18,0,0,0,0,0
2025,Thailand,"Dem. Rep. of the Congo",THA,COD,13,7,0,0,0,0,0
2025,Thailand,Ethiopia,THA,ETH,20,64,0,0,0,0,0
2025,Thailand,"State of Palestine",THA,PSE,128,5,0,0,0,0,0
2025,Thailand,Guinea,THA,GIN,9,0,0,0,0,0,0
2025,Thailand,"Cote d'Ivoire",THA,CIV,17,0,0,0,0,0,0
2025,Thailand,"Iran (Islamic Rep. of)",THA,IRN,67,13,0,0,0,0,0
2025,Thailand,Iraq,THA,IRQ,100,7,0,0,0,0,0
2025,Thailand,Jordan,THA,JOR,0,5,0,0,0,0,0
2025,Thailand,Kuwait,THA,KWT,6,0,0,0,0,0,0
2025,Thailand,"Lao People's Dem. Rep.",THA,LAO,6,0,0,0,0,0,0
2025,Thailand,"Sri Lanka",THA,LKA,70,28,0,0,0,0,0
2025,Thailand,Morocco,THA,MAR,5,5,0,0,0,0,0
2025,Thailand,Myanmar,THA,MMR,80411,0,0,0,0,0,464
2025,Thailand,Nepal,THA,NPL,5,0,0,0,0,0,0
2025,Thailand,Nigeria,THA,NGA,0,10,0,0,0,0,0
2025,Thailand,Pakistan,THA,PAK,1182,934,0,0,0,0,0
2025,Thailand,"Russian Federation",THA,RUS,0,12,0,0,0,0,0
2025,Thailand,Somalia,THA,SOM,122,52,0,0,0,0,0
2025,Thailand,"Viet Nam",THA,VNM,940,1356,0,0,0,0,0
2025,Thailand,Stateless,THA,XXA,0,0,0,0,610791,0,0
2025,Thailand,Sudan,THA,SDN,18,6,0,0,0,0,0
2025,Thailand,"Syrian Arab Rep.",THA,SYR,184,31,0,0,0,0,0
2025,Thailand,Uganda,THA,UGA,0,5,0,0,0,0,0
2025,Thailand,Yemen,THA,YEM,30,11,0,0,0,0,0
